OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
3402086,T20130014252,ABS to receive accident,Finished,9/7/2013,18.15.00,Yes,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,No,56741,145.25533,-38.09461,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2522397.95,2378492.769,9,1,0,0,1,8,4,5,0,7,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402087,T20130014253,ABS to receive accident,Finished,9/7/2013,16.45.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,262174,145.37742,-37.75237,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2533258.838,2416443.13,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Metro
3402088,T20130014262,ABS to receive accident,Finished,9/7/2013,06.45.00,No,Collision with vehicle,Tuesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,70 km/hr,No,84,145.23749,-37.81102,Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,2520911.635,2409973.524,4,2,0,1,1,2,2,2,0,1,3,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,MAROONDAH,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Divided,Div,Metro
3402089,T20130014264,ABS to receive accident,Finished,10/7/2013,00.05.00,Yes,Struck animal,Wednesday,STRUCK ANIMAL,No,Dark No street lights,Yes,T intersection,Serious injury accident,80 km/hr,No,261796,144.52799,-37.36409,Intersection,MACEDON RANGES,NORTHERN REGION,2458192.063,2459495.346,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,TOWNS,TOWNS,MACEDON RANGES,NORTHERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3402090,T20130014266,ABS to receive accident,Finished,10/7/2013,01.00.00,Yes,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,Yes,262041,144.6441,-36.18232,Non-Intersection,CAMPASPE,NORTHERN REGION,2467986.444,2590667.935,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CAMPASPE,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3402091,T20130014269,ABS to receive accident,Finished,10/7/2013,03.15.00,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,263714,144.94036,-37.78761,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2494746.629,2412595.807,5,3,0,3,0,2,5,0,0,4,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,"MOONEE VALLEY,MELBOURNE",METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,"Div,Undiv",Metro
3402092,T20130014270,ABS to receive accident,Finished,9/7/2013,09.50.00,No,Vehicle overturned (no collision),Tuesday,OFF END OF ROAD/T-INTERSECTION.,No,Day,Yes,T intersection,Other injury accident,100 km/hr,No,73146,143.63644,-38.25249,Intersection,COLAC OTWAY,SOUTH WESTERN REGION,2380641.005,2360141.662,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,COLAC OTWAY,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3402093,T20130014272,ABS to receive accident,Finished,10/7/2013,06.27.00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,46621,144.95219,-37.82185,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495790.778,2408796.685,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,"Arterial Highway,Local Road,Non Arterial",Divided,"Div,Undiv",Metro
3402094,T20130014274,ABS to receive accident,Finished,10/7/2013,08.50.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,262125,145.00973,-37.78186,Non-Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2500857.384,2413235.685,4,1,0,0,1,3,3,1,0,0,4,0,0,0,0,0,0,0,0,0,No,0,4,0,4,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402095,T20130014275,ABS to receive accident,Finished,10/7/2013,08.09.00,No,Collision with vehicle,Wednesday,LEFT TURN SIDESWIPE,Yes,Day,Yes,T intersection,Other injury accident,70 km/hr,No,36113,144.92916,-37.80309,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2493761.756,2410877.664,2,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3402096,T20130014277,ABS to receive accident,Finished,10/7/2013,06.20.00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,29502,145.06657,-37.75944,Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2505865.284,2415721.546,3,2,0,0,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BANYULE,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3402097,T20130014278,ABS to receive accident,Finished,10/7/2013,07.29.00,No,No collision and no object struck,Wednesday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,T intersection,Serious injury accident,50 km/hr,No,261797,145.05619,-37.91744,Intersection,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2504940.415,2398186.325,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402098,T20130014284,ABS to receive accident,Finished,10/7/2013,10.45.00,No,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,38906,145.02876,-37.80887,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2502532.722,2410238.069,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3402099,T20130014285,ABS to receive accident,Finished,10/7/2013,10.00.00,No,Collision with vehicle,Wednesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,35872,145.11331,-37.85938,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2509970.927,2404626.575,3,2,0,0,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3402100,T20130014286,ABS to receive accident,Finished,8/7/2013,08.15.00,No,Collision with vehicle,Monday,RIGHT REAR.,No,Dusk/Dawn,No,Not at intersection,Other injury accident,60 km/hr,No,261726,145.12036,-37.92188,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2510582.369,2397688.409,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3402101,T20130014289,ABS to receive accident,Finished,10/7/2013,08.30.00,No,No collision and no object struck,Wednesday,OFF CARRIAGEWAY ON RIGHT BEND,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,261799,142.95555,-38.47887,Non-Intersection,CORANGAMITE,SOUTH WESTERN REGION,2321586.234,2333949.149,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CORANGAMITE,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3402102,T20130014294,ABS to receive accident,Finished,9/7/2013,19.45.00,Yes,Collision with vehicle,Tuesday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark No street lights,Yes,Not at intersection,Other injury accident,60 km/hr,No,261750,144.73884,-37.72004,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,2476976.849,2420065.19,3,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,1,MELB_URBAN,MELB_URBAN,MELTON,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Div,Metro
3402103,T20130014299,ABS to receive accident,Finished,10/7/2013,12.05.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),Yes,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,44492,145.025,-37.73227,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2502203.936,2418738.903,4,1,0,0,1,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3402104,T20130014303,ABS to receive accident,Finished,9/7/2013,17.50.00,No,Struck animal,Tuesday,STRUCK ANIMAL,No,Dusk/Dawn,No,Not at intersection,Other injury accident,70 km/hr,No,262362,145.33393,-37.87057,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2529380.164,2403339.061,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3402105,T20130014305,ABS to receive accident,Finished,10/7/2013,13.40.00,No,Collision with vehicle,Wednesday,RIGHT REAR.,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,38974,145.0438,-37.80836,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2503856.835,2410293.446,3,2,0,0,2,1,3,0,0,0,3,0,0,0,0,0,0,0,2,0,No,0,3,0,2,0,1,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3402106,T20130014307,ABS to receive accident,Finished,10/7/2013,13.50.00,No,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,36134,144.86211,-37.79955,Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2487856.338,2411263.945,3,1,0,1,0,2,1,2,0,1,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,"Div,Undiv",Metro
3402107,T20130014308,ABS to receive accident,Finished,10/7/2013,15.50.00,No,Collision with vehicle,Wednesday,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,No,Day,Yes,Not at intersection,Other injury accident,Not known,No,261752,145.12601,-37.78731,Non-Intersection,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,2511099.001,2412623.727,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,1,MELB_URBAN,MELB_URBAN,MANNINGHAM,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro
3402108,T20130014653,ABS to receive accident,Finished,15/7/2013,20.40.00,Yes,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,43716,144.57044,-37.67303,Intersection,MELTON,METROPOLITAN NORTH WEST REGION,2462107.508,2425228.792,3,1,0,0,1,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,SMALL_CITIES,SMALL_CITIES,MELTON,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402109,T20130014658,ABS to receive accident,Finished,15/7/2013,22.00.00,Yes,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Serious injury accident,50 km/hr,Yes,43161,145.26158,-37.98763,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2522978.707,2390365.291,4,2,0,2,0,2,3,1,0,3,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402110,T20130014659,ABS to receive accident,Finished,15/7/2013,22.45.00,Yes,Collision with vehicle,Monday,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,No,Dark Street lights on,Yes,T intersection,Serious injury accident,50 km/hr,No,37012,144.96036,-37.6636,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2496502.955,2426360.093,5,4,0,2,2,1,5,0,0,4,1,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3402111,T20130014660,ABS to receive accident,Finished,6/7/2013,16.00.00,Yes,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,No,Multiple intersection,Other injury accident,Not known,No,11736,144.94051,-37.78783,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2494759.841,2412571.685,2,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,0,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,"Div,Undiv",Metro
3402112,T20130014662,ABS to receive accident,Finished,16/7/2013,04.30.00,Yes,Collision with a fixed object,Tuesday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,50 km/hr,Yes,261871,144.80087,-37.70872,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2482442.344,2421335.085,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,Div,Metro
3402113,T20130014664,ABS to receive accident,Finished,16/7/2013,06.55.00,No,Collision with vehicle,Tuesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,Cross intersection,Other injury accident,60 km/hr,No,222037,144.97682,-37.80811,Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2497958.683,2410321.625,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3402114,T20130014665,ABS to receive accident,Finished,16/7/2013,05.54.00,Yes,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,70 km/hr,Yes,263716,145.19495,-37.83609,Non-Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2517159.886,2407199.188,6,2,0,1,1,4,6,0,0,1,5,0,0,0,0,0,0,0,0,2,No,0,5,0,5,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro
3402115,T20130014666,ABS to receive accident,Finished,16/7/2013,08.27.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,39391,145.14056,-37.80914,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2512376.867,2410198.43,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3402116,T20130014669,ABS to receive accident,Finished,15/7/2013,18.10.00,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,70 km/hr,No,261934,145.2135,-37.86198,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2518786.719,2404322.737,2,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KNOX,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Divided,Div,Metro
