OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
3401744,T20130013732,ABS to receive accident,Finished,1/7/2013,18.30.00,Yes,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,No,261534,144.9698,-37.82202,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2497341.176,2408778.118,3,1,0,1,0,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401745,T20130013736,ABS to receive accident,Finished,2/7/2013,16.40.00,No,Collision with vehicle,Tuesday,PARKED VEHICLES ONLY,No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,66573,145.14671,-37.83166,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2512914.561,2407698.334,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3401746,T20130013737,ABS to receive accident,Finished,2/7/2013,13.15.00,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Serious injury accident,50 km/hr,Yes,261533,144.80134,-37.74003,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2482490.641,2417859.686,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401747,T20130013738,ABS to receive accident,Finished,2/7/2013,16.45.00,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,110 km/hr,Yes,263495,145.07011,-37.17891,Non-Intersection,MITCHELL,NORTHERN REGION,2506225.129,2480145.341,3,2,0,2,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MITCHELL,NORTHERN REGION,M,M,Freeway,Freeway,Divided,Div,Country
3401748,T20130013739,ABS to receive accident,Finished,2/7/2013,15.48.00,No,Collision with vehicle,Tuesday,U TURN,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,261664,144.9653,-37.81808,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496944.686,2409215.737,3,1,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,1,MELBOURNE_CBD,"MELBOURNE_CBD,MELB_URBAN",MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401749,T20130013740,ABS to receive accident,Finished,2/7/2013,13.40.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,263258,145.7914,-38.23087,Non-Intersection,BAW BAW,EASTERN REGION,2569296.776,2363109.374,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BAW BAW,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Undivided,Undiv,Country
3401750,T20130013742,ABS to receive accident,Finished,2/7/2013,16.10.00,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,226245,145.00873,-37.90637,Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2500767.374,2399416.642,10,2,0,0,2,8,5,4,0,7,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3401751,T20130013743,ABS to receive accident,Finished,2/7/2013,17.50.00,No,Collision with vehicle,Tuesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,No,261501,145.07229,-37.80207,Non-Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2506366.059,2410990.138,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401752,T20130013744,ABS to receive accident,Finished,2/7/2013,17.30.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,38890,145.02638,-37.82156,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2502322.883,2408828.978,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401753,T20130013746,ABS to receive accident,Finished,2/7/2013,17.35.00,No,Collision with vehicle,Tuesday,LEFT NEAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,620,145.15439,-37.84541,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2513588.707,2406171.135,4,1,0,0,1,3,2,2,0,2,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3401754,T20130013749,ABS to receive accident,Finished,2/7/2013,16.20.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,Yes,262558,145.04213,-37.73512,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2503713.451,2418422.819,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BANYULE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401755,T20130013751,ABS to receive accident,Finished,2/7/2013,16.30.00,No,Collision with a fixed object,Tuesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Cross intersection,Serious injury accident,80 km/hr,Yes,1303,144.95479,-37.66725,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2496011.83,2425954.466,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,"Div,Undiv",Metro
3401756,T20130013752,ABS to receive accident,Finished,2/7/2013,17.38.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,70 km/hr,No,241918,145.06288,-37.67821,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2505546.495,2424737.38,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITTLESEA,METROPOLITAN NORTH WEST REGION,,,,,,,Metro
3401757,T20130013753,ABS to receive accident,Finished,2/7/2013,19.50.00,Yes,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Other injury accident,60 km/hr,Yes,264067,144.35796,-38.0824,Intersection,GEELONG,SOUTH WESTERN REGION,2443669.924,2379687.507,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3401758,T20130013754,ABS to receive accident,Finished,2/7/2013,17.35.00,No,Collision with vehicle,Tuesday,RIGHT REAR.,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,60 km/hr,No,261637,145.07832,-37.70195,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2506906.296,2422102.011,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,1,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BANYULE,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401759,T20130013755,ABS to receive accident,Finished,2/7/2013,18.19.00,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Other injury accident,80 km/hr,No,261532,144.89081,-37.82599,Non-Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2490387.319,2408332.107,6,2,0,0,2,4,4,2,0,3,3,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,M,M,Freeway,Freeway,Divided,Div,Metro
3401760,T20130013758,ABS to receive accident,Finished,2/7/2013,20.20.00,Yes,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Other injury accident,50 km/hr,Yes,54658,145.16073,-37.66936,Intersection,NILLUMBIK,METROPOLITAN NORTH WEST REGION,2514179.042,2425709.726,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,NILLUMBIK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401761,T20130013760,ABS to receive accident,Finished,2/7/2013,13.30.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,No,Day,No,Not at intersection,Serious injury accident,40 km/hr,No,146162,144.96245,-37.8127,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496693.576,2409812.254,2,1,0,1,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,No,0,2,0,1,0,0,MELBOURNE_CBD,MELBOURNE_CBD,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401762,T20130013761,ABS to receive accident,Finished,2/7/2013,18.05.00,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,Cross intersection,Serious injury accident,60 km/hr,No,29595,144.99091,-37.86532,Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2499200.299,2403972.564,3,1,0,1,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,"Div,Undiv",Metro
3401763,T20130013764,ABS to receive accident,Finished,2/7/2013,16.00.00,No,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,38085,145.02855,-37.76635,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2502515.471,2414956.673,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3401764,T20130013769,ABS to receive accident,Finished,3/7/2013,00.54.00,Yes,No collision and no object struck,Wednesday,OFF CARRIAGEWAY TO LEFT,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,Yes,262821,144.98377,-37.7916,Non-Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2498570.479,2412154.754,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401765,T20130013770,ABS to receive accident,Finished,2/7/2013,10.50.00,No,Collision with vehicle,Tuesday,U TURN,No,Day,Yes,Not at intersection,Other injury accident,70 km/hr,No,261902,144.99429,-37.85819,Non-Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2499497.617,2404764.529,4,1,0,0,1,3,2,2,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,1,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,Arterial Highway,Divided,Div,Metro
3401766,T20130013772,ABS to receive accident,Finished,2/7/2013,12.45.00,No,Collision with vehicle,Tuesday,LANE CHANGE RIGHT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,261552,145.17203,-37.83737,Non-Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2515142.197,2407061.228,2,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Divided,Div,Metro
3401767,T20130013773,ABS to receive accident,Finished,3/7/2013,06.10.00,No,Struck animal,Wednesday,STRUCK ANIMAL,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,No,261665,146.34621,-38.17277,Non-Intersection,LATROBE,EASTERN REGION,2617965.588,2369012.577,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,LATROBE,"EASTERN REGION,EASTERN REGION",C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3401768,T20130013776,ABS to receive accident,Finished,3/7/2013,08.35.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,45372,144.91921,-37.7469,Intersection,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,2492880.067,2417112.418,6,1,0,0,1,5,2,4,0,4,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MOONEE VALLEY,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Divided,"Div,Undiv",Metro
3401769,T20130013777,ABS to receive accident,Finished,3/7/2013,08.40.00,No,Collision with vehicle,Wednesday,LEFT TURN SIDESWIPE,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,261640,144.98163,-37.85293,Non-Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2498383.194,2405347.689,2,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro
3401770,T20130013608,ABS to receive accident,Finished,1/7/2013,02.10.00,Yes,Collision with vehicle,Monday,RIGHT FAR (INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Multiple intersection,Serious injury accident,80 km/hr,No,226265,145.2121,-37.92536,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2518647.704,2397288.036,6,2,0,1,1,4,2,4,0,4,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KNOX,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Divided,Div,Metro
3401771,T20130013611,ABS to receive accident,Finished,1/7/2013,06.40.00,No,Struck Pedestrian,Monday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,No,Dark Street lights on,Yes,T intersection,Other injury accident,50 km/hr,No,261607,144.33957,-38.16099,Intersection,GEELONG,SOUTH WESTERN REGION,2442117.461,2370953.264,3,1,0,0,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3401772,T20130013617,ABS to receive accident,Finished,1/7/2013,08.40.00,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Serious injury accident,80 km/hr,No,46901,145.26364,-38.00505,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2523154.555,2388431.52,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Divided,Div,Metro
3401773,T20130013620,ABS to receive accident,Finished,1/7/2013,05.30.00,Yes,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,261464,146.39508,-37.97259,Non-Intersection,BAW BAW,EASTERN REGION,2622573.794,2391168.492,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BAW BAW,"EASTERN REGION,EASTERN REGION",C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3401774,T20130013621,ABS to receive accident,Finished,1/7/2013,04.45.00,Yes,Struck animal,Monday,STRUCK ANIMAL,No,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,No,261715,144.18062,-36.80813,Non-Intersection,BENDIGO,NORTHERN REGION,2426894.2,2520974.972,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,BENDIGO,NORTHERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3401775,T20130013622,ABS to receive accident,Finished,1/7/2013,09.14.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,261568,145.14892,-38.10118,Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2513062.392,2377783.324,2,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,FRANKSTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3401776,T20130013630,ABS to receive accident,Finished,1/7/2013,06.50.00,Yes,Vehicle overturned (no collision),Sunday,OFF CARRIAGEWAY TO RIGHT,No,Dark No street lights,Yes,Not at intersection,Other injury accident,110 km/hr,Yes,277412,145.1033,-37.08409,Non-Intersection,MITCHELL,NORTHERN REGION,2509183.742,2490664.252,3,3,0,0,3,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MITCHELL,NORTHERN REGION,M,M,Freeway,Freeway,Divided,Div,Country
3401777,T20130013638,ABS to receive accident,Finished,1/7/2013,10.30.00,No,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,Yes,261526,147.83109,-37.37856,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,2750675.478,2454265.549,2,2,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,EAST GIPPSLAND,"EASTERN REGION,EASTERN REGION",B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3401778,T20130013641,ABS to receive accident,Finished,1/7/2013,09.30.00,No,Collision with a fixed object,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Fatal accident,70 km/hr,Yes,49869,144.35382,-38.13782,Intersection,GEELONG,SOUTH WESTERN REGION,2443348.895,2373534.199,2,1,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,,,Local Road,Local Road,Divided,"Div,Undiv",Country
3401779,T20130013644,ABS to receive accident,Finished,1/7/2013,12.40.00,No,Struck Pedestrian,Monday,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,No,Day,Yes,Cross intersection,Fatal accident,50 km/hr,No,41143,144.99272,-37.91244,Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2499360.117,2398742.554,4,4,1,3,0,0,1,3,0,0,1,3,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Divided,"Div,Undiv",Metro
3401780,T20130013647,ABS to receive accident,Finished,1/7/2013,16.40.00,No,Vehicle overturned (no collision),Monday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,T intersection,Serious injury accident,60 km/hr,No,67133,145.0748,-37.84725,Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2506583.625,2405975.755,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3401781,T20130013649,ABS to receive accident,Finished,1/7/2013,15.40.00,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,261922,145.10063,-37.941,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2508845.685,2395567.803,4,2,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Divided,"Div,Undiv",Metro
3401782,T20130013650,ABS to receive accident,Finished,1/7/2013,16.40.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,39806,145.30008,-37.80088,Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,2526426.509,2411082.718,2,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MAROONDAH,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3401783,T20130013652,ABS to receive accident,Finished,1/7/2013,17.55.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Other injury accident,60 km/hr,No,52743,143.83607,-37.52622,Intersection,BALLARAT,WESTERN REGION,2397128.44,2440977.441,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BALLARAT,WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3401784,T20130013654,ABS to receive accident,Finished,1/7/2013,17.45.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Dusk/Dawn,Yes,T intersection,Other injury accident,60 km/hr,No,57278,144.76513,-36.14474,Intersection,CAMPASPE,NORTHERN REGION,2478863.058,2594871.013,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,SMALL_CITIES,SMALL_CITIES,CAMPASPE,NORTHERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3401785,T20130013655,ABS to receive accident,Finished,1/7/2013,16.45.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,80 km/hr,No,59246,145.38885,-36.44081,Intersection,SHEPPARTON,NORTH EASTERN REGION,2534859.947,2561975.587,4,2,0,0,2,2,1,2,0,2,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SHEPPARTON,NORTH EASTERN REGION,A,"A,C",Arterial Highway,"Arterial Highway,Local Road,Arterial Other",Undivided,Undiv,Country
3401786,T20130013656,ABS to receive accident,Finished,1/7/2013,16.20.00,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,262085,144.88274,-37.83945,Non-Intersection,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,2489678.443,2406837.627,3,1,0,1,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro
3401787,T20130013657,ABS to receive accident,Finished,1/7/2013,17.05.00,No,Collision with a fixed object,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Other injury accident,80 km/hr,Yes,261481,145.21846,-37.59477,Non-Intersection,NILLUMBIK,METROPOLITAN NORTH WEST REGION,2519291.49,2433977.189,2,2,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,NILLUMBIK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
